tweet,username,clean_tweet,sentiment
@pinjollaknat Lemah berarti yah perlindungan data pribadi kita,NikoOkta3,@pinjollaknat Lemah berarti yah perlindungan data pribadi kita,Negative
@cybsquad_ @Addarul1 Wah...bukannya semua data pribadi dan keluarga itu bersifat rahasia? Lalu bagaimana perlindungan negara terhadap warganya?,uv_firbilland,@cybsquad_ @Addarul1 Wah...bukannya semua data pribadi dan keluarga itu bersifat rahasia? Lalu bagaimana perlindungan negara terhadap warganya?,Neutral
"Gimana ya, emang idealnya mau ngomongin perlindungan data pribadi juga bakal susah kalo RUU belum disahin karena aturan si ""data-data"" ini masih mencar di berbagai sektor aturan teknis.",ibnuaulia,"Gimana ya, emang idealnya mau ngomongin perlindungan data pribadi juga bakal susah kalo RUU belum disahin karena aturan si ""data-data"" ini masih mencar di berbagai sektor aturan teknis.",Negative
@zarazettirazr @r4kyatj3lata Iyaa deh kak. Intinya data kependudukan dilindungi undang2. Makanya saat ini sedang dirumuskan UU perlindungan data pribadi agar keamanan data yg dikelola pihak lain dapat dijaga dan tidak disebar sembarangan. Smga makin baik kedepannya.,rama90s,@zarazettirazr @r4kyatj3lata Iyaa deh kak. Intinya data kependudukan dilindungi undang2. Makanya saat ini sedang dirumuskan UU perlindungan data pribadi agar keamanan data yg dikelola pihak lain dapat dijaga dan tidak disebar sembarangan. Smga makin baik kedepannya.,Positive
"@cpmarpaung Hmm, I see. Tapi udah dipake sama bank, ga otomatis jadi boleh dipake gitu aja, bahkan yang bank itu pun masih questionable. Perlindungan data pribadi kita masih kacrut banget.",PramOctavy,"@cpmarpaung Hmm, I see. Tapi udah dipake sama bank, ga otomatis jadi boleh dipake gitu aja, bahkan yang bank itu pun masih questionable. Perlindungan data pribadi kita masih kacrut banget.",Neutral
@Dee_01984 Balik lg ke perlindungan data pribadi.. isu ini ga pernah dieksekusi ya?,MamiaAja,@Dee_01984 Balik lg ke perlindungan data pribadi.. isu ini ga pernah dieksekusi ya?,Negative
@noiseoligarchy @pikiran_rakyat Perlindungan data pribadi 👍,Adhit_Android,@noiseoligarchy @pikiran_rakyat Perlindungan data pribadi 👍,Neutral
"@pikiran_rakyat @Dispenduk @KemensosRI @kemendagri ya harusnya jangan ada permintaan fotocopy KK/KTP dong.. alasannya : 1. kan udah era digital, 2. paper &amp; carbon less, 3. perlindungan data pribadi. Ini salahnya semua instansi yg minta fotocopy (hardcopy). Jangan salahkan masyarakat!",Suhardjo_D,"@pikiran_rakyat @Dispenduk @KemensosRI @kemendagri ya harusnya jangan ada permintaan fotocopy KK/KTP dong.. alasannya : 1. kan udah era digital, 2. paper &amp; carbon less, 3. perlindungan data pribadi. Ini salahnya semua instansi yg minta fotocopy (hardcopy). Jangan salahkan masyarakat!",Negative
"@ardianpancaa Udah salah duluan sih, soalnya gak menghargai perlindungan data pribadi",bnababan,"@ardianpancaa Udah salah duluan sih, soalnya gak menghargai perlindungan data pribadi",Neutral
"Semoga pemerintah bisa lebih peduli dan punya solusi terpadu, termasuk kita juga.. | Hanya Budiman Sudjatmiko yang Bisa Wujudkan Perlindungan Data Pribadi di Indonesia https://t.co/Q7CUNKlEyo",ainandoo,"Semoga pemerintah bisa lebih peduli dan punya solusi terpadu, termasuk kita juga.. | Hanya Budiman Sudjatmiko yang Bisa Wujudkan Perlindungan Data Pribadi di Indonesia https://t.co/Q7CUNKlEyo",Positive
